DatGeracaoConjuntoDados;SigTipoGeracao;QtdUsinasPeriodo;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2024-09-01;CGH;405;240364,00;3 ;2013
2024-09-01;PCH;440;4315464,00;3 ;2013
2024-09-01;UFV;13;7586,00;3 ;2013
2024-09-01;UTE;1647;34339592,00;3 ;2013
2024-09-01;UHE;205;80134573,00;3 ;2013
2024-09-01;UTN;2;2007000,00;3 ;2013
2024-09-01;UTN;2;1990000,00;6 ;2013
2024-09-01;UTE;1724;34861415,00;6 ;2013
2024-09-01;UHE;191;80207481,00;6 ;2013
2024-09-01;UFV;14;2617,00;6 ;2013
2024-09-01;PCH;456;4441066,00;6 ;2013
2024-09-01;EOL;95;2092541,00;6 ;2013
2024-09-01;CGH;420;255596,00;6 ;2013
2024-09-01;CGH;421;256047,00;9 ;2013
2024-09-01;EOL;97;2109364,00;9 ;2013
2024-09-01;UFV;32;2762,00;9 ;2013
2024-09-01;PCH;462;4569748,00;9 ;2013
2024-09-01;UHE;194;80731224,00;9 ;2013
2024-09-01;UTE;1754;35220252,00;9 ;2013
2024-09-01;UTN;2;1990000,00;9 ;2013
2024-09-01;UTN;2;1990000,00;12;2014
2024-09-01;UTE;1886;37606369,00;12;2014
2024-09-01;UHE;201;84094838,00;12;2014
2024-09-01;UFV;310;15080,00;12;2014
2024-09-01;PCH;471;4738176,00;12;2014
2024-09-01;EOL;228;4887689,00;12;2014
2024-09-01;CGH;486;303320,00;12;2014
2024-09-01;EOL;117;2441176,00;3 ;2014
2024-09-01;CGH;449;275195,00;3 ;2014
2024-09-01;PCH;477;4669842,00;3 ;2014
2024-09-01;UFV;87;6209,00;3 ;2014
2024-09-01;UTE;1824;36756810,00;3 ;2014
2024-09-01;UHE;196;81801323,00;3 ;2014
2024-09-01;UTN;2;1990000,00;3 ;2014
2024-09-01;UTN;2;1990000,00;6 ;2014
2024-09-01;UTE;1855;36936999,00;6 ;2014
2024-09-01;UHE;197;82205278,00;6 ;2014
2024-09-01;UFV;130;9940,00;6 ;2014
2024-09-01;PCH;463;4640031,00;6 ;2014
2024-09-01;EOL;151;3106190,00;6 ;2014
